"no","risk","name","building","address","lat","lon","naver_url","review_note","override_lat","override_lon","override_note"
"44","school","첨단2동제4투","월계초등학교(1층, 급식실)","광주광역시 광산구 첨단내촌로 83 (월계동 763-4)","35.2135259","126.8350379","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EB%82%B4%EC%B4%8C%EB%A1%9C%2083%20%28%EC%9B%94%EA%B3%84%EB%8F%99%20763-4%29","","","",""
"45","large-site","첨단2동제5투","부영1차아파트 재활용센터(1층)","광주광역시 광산구 월계로 170 (산월동, 부영아파트)","35.212426","126.8452215","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9B%94%EA%B3%84%EB%A1%9C%20170%20%28%EC%82%B0%EC%9B%94%EB%8F%99%2C%20%EB%B6%80%EC%98%81%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"46","school","첨단2동제6투","봉산중학교(1층, 현관)","광주광역시 광산구 산월로 67 (산월동 885-4)","35.2095298","126.8447137","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%82%B0%EC%9B%94%EB%A1%9C%2067%20%28%EC%82%B0%EC%9B%94%EB%8F%99%20885-4%29","","","",""
"47","school","첨단2동제7투","월봉중학교(1층, 학생회실)","광주광역시 광산구 산월로 107 (산월동 884-3)","35.2094373","126.8489785","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%82%B0%EC%9B%94%EB%A1%9C%20107%20%28%EC%82%B0%EC%9B%94%EB%8F%99%20884-3%29","","","",""
"48","school","첨단2동제8투","천곡중학교(1층, 기술가사실)","광주광역시 광산구 월계로16번길 78 (월계동 766-10)","35.2119874","126.8348475","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9B%94%EA%B3%84%EB%A1%9C16%EB%B2%88%EA%B8%B8%2078%20%28%EC%9B%94%EA%B3%84%EB%8F%99%20766-10%29","","35.2116695","126.8351261","천곡중학교 43m"
"49","school","첨단2동제9투","봉산초등학교(1층, 중앙현관)","광주광역시 광산구 산월로 57 (산월동885-5)","35.2094589","126.843629","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%82%B0%EC%9B%94%EB%A1%9C%2057%20%28%EC%82%B0%EC%9B%94%EB%8F%99885-5%29","","","",""
"50","large-site","첨단2동제10투","첨단다목적체육센터(1층)","광주광역시 광산구 첨단강변로 76 (산월동)","35.2133117","126.8524932","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%B2%A8%EB%8B%A8%EA%B0%95%EB%B3%80%EB%A1%9C%2076%20%28%EC%82%B0%EC%9B%94%EB%8F%99%29","","","",""
"51","school","신가동제1투","진만초등학교(후관동 1층 로비)","광주광역시 광산구 목련로394번길 40-10 (신가동)","35.1832334","126.8340147","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C394%EB%B2%88%EA%B8%B8%2040-10%20%28%EC%8B%A0%EA%B0%80%EB%8F%99%29","","","",""
"52","school","신가동제2투","풍영초등학교(1층, 로비)","광주광역시 광산구 수등로258번길 53 (신가동)","35.18321","126.8404629","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C258%EB%B2%88%EA%B8%B8%2053%20%28%EC%8B%A0%EA%B0%80%EB%8F%99%29","","","",""
"53","school","신가동제3투","선창초등학교(1층, 1-6반)","광주광역시 광산구 신창로35번길 67 (신가동)","35.1881845","126.8347624","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%8B%A0%EC%B0%BD%EB%A1%9C35%EB%B2%88%EA%B8%B8%2067%20%28%EC%8B%A0%EA%B0%80%EB%8F%99%29","","","",""
"54","large-site","운남동제1투","운남동행정복지센터(3층, 대회의실)","광주광역시 광산구 목련로217번길 10 (운남동)","35.1732716","126.8219202","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C217%EB%B2%88%EA%B8%B8%2010%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","","",""
"55","large-site","운남동제2투","삼성아파트 경로당(1층)","광주광역시 광산구 임방울대로 142-12 (운남동, 삼성아파트)","35.1729465","126.8202473","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%9E%84%EB%B0%A9%EC%9A%B8%EB%8C%80%EB%A1%9C%20142-12%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%2C%20%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"56","school","운남동제3투","운남중학교(1층, 체육관)","광주광역시 광산구 목련로 307-10 (운남동)","35.1778094","126.8281231","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C%20307-10%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","","",""
"57","large-site","운남동제4투","운남주공4단지아파트 경로당(1층)","광주광역시 광산구 목련로273번안길 30 (운남동, 운남주공4단지아파트)","35.1781086","126.821979","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C273%EB%B2%88%EC%95%88%EA%B8%B8%2030%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%2C%20%EC%9A%B4%EB%82%A8%EC%A3%BC%EA%B3%B54%EB%8B%A8%EC%A7%80%EC%95%84%ED%8C%8C%ED%8A%B8%29","","","",""
"58","school","운남동제5투","운남초등학교 후관(1층, 늘봄교실3)","광주광역시 광산구 하남대로 248-22 (운남동)","35.1772664","126.8198594","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%ED%95%98%EB%82%A8%EB%8C%80%EB%A1%9C%20248-22%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","","",""
"59","school","운남동제6투","금구중학교(1층, 학습도움실)","광주광역시 광산구 목련로153번길 76 (운남동)","35.175534","126.8154974","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C153%EB%B2%88%EA%B8%B8%2076%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","","",""
"60","school","운남동제7투","목련초등학교(후관 1층, 미래형 놀이실)","광주광역시 광산구 목련로153번길 20 (운남동)","35.1726174","126.8151841","https://map.naver.com/p/search/%EA%B4%91%EC%A3%BC%EA%B4%91%EC%97%AD%EC%8B%9C%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EB%AA%A9%EB%A0%A8%EB%A1%9C153%EB%B2%88%EA%B8%B8%2020%20%28%EC%9A%B4%EB%82%A8%EB%8F%99%29","","35.1723511","126.8151455","목련초등학교 30m"
